Doba handlowa;Doba;Godzina;Krajowe zapotrzebowanie na moc [MW];Godzina szczytu;Data publikacji
"2024-07-15";"2024-07-15";"0";13542;"ZALECANE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"1";13462;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"2";13256;"ZALECANE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"3";13268;"ZALECANE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"4";13656;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"5";14590;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"6";17292;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"7";19294;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"8";19922;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"9";19948;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"10";20524;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"11";20400;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"12";19950;"ZALECANE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"13";19899;"ZALECANE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"14";19674;"ZALECANE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"15";19622;"ZALECANE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"16";19646;"ZALECANE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"17";20594;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"18";21154;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"19";21780;"ZALECANE OSZCZĘDZANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"20";21367;"ZALECANE OSZCZĘDZANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"21";19767;"ZALECANE OSZCZĘDZANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"22";18853;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-15";"2024-07-15";"23";17118;"NORMALNE UŻYTKOWANIE";"2024-07-16 00:10"
"2024-07-16";"2024-07-16";"0";16213;"NORMALNE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"1";15800;"NORMALNE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"2";15063;"NORMALNE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"3";15025;"NORMALNE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"4";15100;"NORMALNE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"5";15513;"NORMALNE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"6";17863;"NORMALNE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"7";19863;"NORMALNE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"8";21138;"NORMALNE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"9";21050;"NORMALNE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"10";20913;"ZALECANE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"11";21425;"ZALECANE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"12";21763;"NORMALNE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"13";21150;"ZALECANE UŻYTKOWANIE";"2024-07-16 22:39"
"2024-07-16";"2024-07-16";"14";21188;"ZALECANE UŻYTKOWANIE";"2024-07-16 22:39"
