Doba handlowa;Doba;Godzina;Krajowe zapotrzebowanie na moc [MW];Godzina szczytu;Data publikacji
"2024-08-16";"2024-08-16";"0";12975;"ZALECANE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"1";13113;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"2";12788;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"3";12663;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"4";12550;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"5";12925;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"6";14813;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"7";16975;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"8";18200;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"9";18288;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"10";17850;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"11";17450;"ZALECANE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"12";17800;"ZALECANE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"13";17625;"ZALECANE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"14";17200;"ZALECANE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"15";17663;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"16";18100;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"17";18425;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"18";18750;"ZALECANE OSZCZĘDZANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"19";18825;"ZALECANE OSZCZĘDZANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"20";18713;"ZALECANE OSZCZĘDZANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"21";17863;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"22";16550;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-16";"2024-08-16";"23";15125;"NORMALNE UŻYTKOWANIE";"2024-08-16 22:38"
"2024-08-17";"2024-08-17";"0";14413;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"1";13888;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"2";13525;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"3";13425;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"4";13150;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"5";13138;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"6";14625;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"7";15763;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"8";17000;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"9";17688;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"10";17538;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"11";17188;"ZALECANE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"12";17225;"ZALECANE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"13";17350;"ZALECANE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"14";17138;"ZALECANE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"15";17038;"ZALECANE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"16";17488;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"17";17475;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"18";17525;"ZALECANE OSZCZĘDZANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"19";17725;"ZALECANE OSZCZĘDZANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"20";17738;"ZALECANE OSZCZĘDZANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"21";16650;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"22";15800;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-17";"2024-08-17";"23";14488;"NORMALNE UŻYTKOWANIE";"2024-08-17 22:38"
"2024-08-18";"2024-08-18";"0";13625;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"1";13050;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"2";12563;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"3";12363;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"4";12250;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"5";11800;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"6";12513;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"7";13775;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"8";14625;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"9";15050;"ZALECANE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"10";15413;"ZALECANE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"11";15450;"ZALECANE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"12";15388;"ZALECANE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"13";15400;"ZALECANE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"14";15425;"ZALECANE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"15";15550;"ZALECANE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"16";15738;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"17";15900;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"18";16438;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"19";16400;"ZALECANE OSZCZĘDZANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"20";17413;"ZALECANE OSZCZĘDZANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"21";16675;"ZALECANE OSZCZĘDZANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"22";15750;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-18";"2024-08-18";"23";14450;"NORMALNE UŻYTKOWANIE";"2024-08-19 01:44"
"2024-08-19";"2024-08-19";"0";13301;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"1";13200;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"2";12825;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"3";12800;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"4";13025;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"5";13825;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"6";16113;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"7";18800;"ZALECANE OSZCZĘDZANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"8";19925;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"9";20263;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"10";20050;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"11";20338;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"12";20025;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"13";20300;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"14";19738;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"15";20025;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"16";20250;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"17";19900;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"18";19625;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"19";20125;"ZALECANE OSZCZĘDZANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"20";20463;"ZALECANE OSZCZĘDZANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"21";19200;"ZALECANE OSZCZĘDZANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"22";17163;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-19";"2024-08-19";"23";15750;"NORMALNE UŻYTKOWANIE";"2024-08-19 23:24"
"2024-08-20";"2024-08-20";"0";15150;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"1";14738;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"2";14550;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"3";14500;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"4";14625;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"5";15225;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"6";17742;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"7";20177;"ZALECANE OSZCZĘDZANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"8";20789;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"9";20405;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"10";20088;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"11";20338;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"12";20450;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"13";20575;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"14";20363;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"15";20150;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"16";20250;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"17";20188;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"18";20100;"ZALECANE OSZCZĘDZANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"19";20150;"ZALECANE OSZCZĘDZANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"20";20750;"ZALECANE OSZCZĘDZANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"21";19425;"ZALECANE OSZCZĘDZANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"22";17888;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-20";"2024-08-20";"23";16363;"NORMALNE UŻYTKOWANIE";"2024-08-20 22:36"
"2024-08-21";"2024-08-21";"0";15525;"NORMALNE UŻYTKOWANIE";"2024-08-21 20:58"
"2024-08-21";"2024-08-21";"1";14938;"NORMALNE UŻYTKOWANIE";"2024-08-21 20:58"
"2024-08-21";"2024-08-21";"2";14700;"NORMALNE UŻYTKOWANIE";"2024-08-21 20:58"
"2024-08-21";"2024-08-21";"3";14775;"NORMALNE UŻYTKOWANIE";"2024-08-21 20:58"
