Doba handlowa;Doba;Godzina;Krajowe zapotrzebowanie na moc [MW];Godzina szczytu;Data publikacji
"2024-12-20";"2024-12-20";"0";16163;"ZALECANE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"1";15600;"ZALECANE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"2";15400;"ZALECANE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"3";15313;"ZALECANE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"4";15863;"ZALECANE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"5";16813;"ZALECANE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"6";19375;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"7";20875;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"8";21425;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"9";21636;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"10";21863;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"11";22042;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"12";22220;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"13";22379;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"14";21705;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"15";22105;"ZALECANE OSZCZĘDZANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"16";22830;"ZALECANE OSZCZĘDZANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"17";22530;"ZALECANE OSZCZĘDZANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"18";22180;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"19";21903;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"20";20825;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"21";19450;"NORMALNE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"22";18163;"ZALECANE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-20";"2024-12-20";"23";17150;"ZALECANE UŻYTKOWANIE";"2024-12-20 22:23"
"2024-12-21";"2024-12-21";"0";16225;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"1";15638;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"2";15400;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"3";15250;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"4";15300;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"5";15750;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"6";16763;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"7";17600;"NORMALNE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"8";18475;"NORMALNE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"9";19288;"NORMALNE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"10";19513;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"11";19550;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"12";19400;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"13";19675;"NORMALNE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"14";19675;"NORMALNE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"15";20563;"ZALECANE OSZCZĘDZANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"16";20750;"ZALECANE OSZCZĘDZANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"17";20800;"ZALECANE OSZCZĘDZANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"18";20363;"NORMALNE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"19";20263;"NORMALNE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"20";19763;"NORMALNE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"21";18650;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"22";17513;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-21";"2024-12-21";"23";16300;"ZALECANE UŻYTKOWANIE";"2024-12-21 22:25"
"2024-12-22";"2024-12-22";"0";15338;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"1";15200;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"2";14888;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"3";14975;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"4";14725;"ZALECANE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"5";15100;"ZALECANE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"6";15875;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"7";16575;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"8";17250;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"9";17938;"ZALECANE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"10";18550;"ZALECANE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"11";18413;"ZALECANE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"12";18550;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"13";19188;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"14";19425;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"15";19425;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"16";19775;"ZALECANE OSZCZĘDZANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"17";19650;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"18";20050;"ZALECANE OSZCZĘDZANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"19";19638;"ZALECANE OSZCZĘDZANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"20";19138;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"21";18163;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"22";17063;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-22";"2024-12-22";"23";15775;"NORMALNE UŻYTKOWANIE";"2024-12-22 22:23"
"2024-12-23";"2024-12-23";"0";14925;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"1";13963;"ZALECANE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"2";14150;"ZALECANE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"3";14025;"ZALECANE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"4";14063;"ZALECANE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"5";15213;"ZALECANE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"6";17213;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"7";18938;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"8";19988;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"9";21238;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"10";21275;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"11";21513;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"12";21688;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"13";22125;"ZALECANE OSZCZĘDZANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"14";21775;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"15";21938;"ZALECANE OSZCZĘDZANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"16";22550;"ZALECANE OSZCZĘDZANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"17";22213;"ZALECANE OSZCZĘDZANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"18";22038;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"19";21588;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"20";21175;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"21";19888;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"22";18088;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-23";"2024-12-23";"23";16500;"NORMALNE UŻYTKOWANIE";"2024-12-23 22:26"
"2024-12-24";"2024-12-24";"0";15138;"ZALECANE UŻYTKOWANIE";"2024-12-24 22:37"
"2024-12-24";"2024-12-24";"1";14113;"ZALECANE UŻYTKOWANIE";"2024-12-24 22:37"
"2024-12-24";"2024-12-24";"2";13550;"ZALECANE UŻYTKOWANIE";"2024-12-24 22:37"
"2024-12-24";"2024-12-24";"3";13400;"ZALECANE UŻYTKOWANIE";"2024-12-24 22:37"
"2024-12-24";"2024-12-24";"4";13525;"ZALECANE UŻYTKOWANIE";"2024-12-24 22:37"
"2024-12-24";"2024-12-24";"5";14150;"NORMALNE UŻYTKOWANIE";"2024-12-24 22:37"
"2024-12-24";"2024-12-24";"6";15138;"NORMALNE UŻYTKOWANIE";"2024-12-24 22:37"
"2024-12-24";"2024-12-24";"7";16413;"NORMALNE UŻYTKOWANIE";"2024-12-24 22:37"
"2024-12-24";"2024-12-24";"8";17388;"NORMALNE UŻYTKOWANIE";"2024-12-24 22:37"
"2024-12-24";"2024-12-24";"9";18675;"NORMALNE UŻYTKOWANIE";"2024-12-24 22:37"
