Doba handlowa;Doba;Godzina;Krajowe zapotrzebowanie na moc [MW];Godzina szczytu;Data publikacji
"2025-01-21";"2025-01-21";"0";17563;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"1";17188;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"2";16875;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"3";17013;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"4";17350;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"5";18300;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"6";21375;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"7";23400;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"8";24025;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"9";23963;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"10";23475;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"11";23650;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"12";23763;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"13";23863;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"14";23850;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"15";23913;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"16";24513;"ZALECANE OSZCZĘDZANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"17";24475;"ZALECANE OSZCZĘDZANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"18";23963;"ZALECANE OSZCZĘDZANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"19";23938;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"20";23338;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"21";21900;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"22";20638;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-21";"2025-01-21";"23";18938;"NORMALNE UŻYTKOWANIE";"2025-01-21 22:27"
"2025-01-22";"2025-01-22";"0";17575;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"1";17250;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"2";17050;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"3";17138;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"4";17613;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"5";18700;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"6";21750;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"7";23288;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"8";24100;"ZALECANE OSZCZĘDZANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"9";23863;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"10";23400;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"11";23688;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"12";23263;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
"2025-01-22";"2025-01-22";"13";23063;"NORMALNE UŻYTKOWANIE";"2025-01-23 01:11"
