Doba handlowa;Doba;Godzina;Krajowe zapotrzebowanie na moc [MW];Godzina szczytu;Data publikacji
"2024-09-17";"2024-09-17";"0";15138;"ZALECANE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"1";14725;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"2";14400;"ZALECANE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"3";14425;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"4";14775;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"5";15538;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"6";17888;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"7";19300;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"8";20013;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"9";20025;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"10";19575;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"11";19150;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"12";18900;"ZALECANE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"13";18913;"ZALECANE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"14";18963;"ZALECANE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"15";19525;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"16";19875;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"17";19800;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"18";20175;"ZALECANE OSZCZĘDZANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"19";20875;"ZALECANE OSZCZĘDZANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"20";20400;"ZALECANE OSZCZĘDZANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"21";18875;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"22";17413;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-17";"2024-09-17";"23";15988;"NORMALNE UŻYTKOWANIE";"2024-09-17 23:45"
"2024-09-18";"2024-09-18";"0";15288;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"1";14675;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"2";14550;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"3";14525;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"4";14800;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"5";15738;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"6";18038;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"7";19863;"ZALECANE OSZCZĘDZANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"8";20775;"ZALECANE OSZCZĘDZANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"9";20450;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"10";19300;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"11";18925;"ZALECANE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"12";18900;"ZALECANE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"13";18913;"ZALECANE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"14";19088;"ZALECANE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"15";19525;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"16";19800;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"17";19725;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"18";19975;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"19";20975;"ZALECANE OSZCZĘDZANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"20";20550;"ZALECANE OSZCZĘDZANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"21";18850;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"22";17438;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-18";"2024-09-18";"23";15988;"NORMALNE UŻYTKOWANIE";"2024-09-18 23:55"
"2024-09-19";"2024-09-19";"0";14988;"NORMALNE UŻYTKOWANIE";"2024-09-19 22:43"
"2024-09-19";"2024-09-19";"1";14475;"NORMALNE UŻYTKOWANIE";"2024-09-19 22:43"
"2024-09-19";"2024-09-19";"2";14425;"NORMALNE UŻYTKOWANIE";"2024-09-19 22:43"
"2024-09-19";"2024-09-19";"3";14425;"NORMALNE UŻYTKOWANIE";"2024-09-19 22:43"
"2024-09-19";"2024-09-19";"4";14738;"NORMALNE UŻYTKOWANIE";"2024-09-19 22:43"
"2024-09-19";"2024-09-19";"5";15563;"NORMALNE UŻYTKOWANIE";"2024-09-19 22:43"
"2024-09-19";"2024-09-19";"6";17888;"NORMALNE UŻYTKOWANIE";"2024-09-19 22:43"
"2024-09-19";"2024-09-19";"7";19688;"ZALECANE OSZCZĘDZANIE";"2024-09-19 22:43"
